#source_id,#transit_id,#band,#time,#mag,#flux,#flux_error,#flux_over_error,#rejected_by_photometry,#rejected_by_variability,#other_flags,#solution_id
5.87012381002806E+018,1.68159666228681E+016,G,1700.95078242615,14.7246883730323,24292.428930243,98.5806005975179,246.422,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,1.68200589170935E+016,G,1701.02475633322,14.7023274062788,24797.9241646042,50.9005127154308,487.18417,false,false,4198913,3.69295549951642E+017
5.87012381002806E+018,1.87164811919536E+016,G,1735.31858859175,13.8825629198275,52761.9845142818,143.748034390803,367.04492,false,false,4198913,3.69295549951642E+017
5.87012381002806E+018,1.87205734931307E+016,G,1735.39262058001,13.8824670578434,52766.6431890074,114.407901001464,461.21503,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.13572676211605E+016,G,1783.07502695762,13.7835558035708,57799.4849727273,252.404069725683,228.99585,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.1367008563565E+016,G,1783.25118888977,13.7949162405837,57197.861765547,115.408647737943,495.61157,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.13711008900517E+016,G,1783.32519738484,13.7960394611777,57138.7197792076,129.49940076535,441.2277,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.13808417783239E+016,G,1783.50135837983,13.7967355372977,57102.0993261708,191.022310492801,298.92896,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.13849340864608E+016,G,1783.57535049448,13.8015375265636,56850.1060828698,98.0688803482088,579.6957,false,false,4264449,3.69295549951642E+017
5.87012381002806E+018,2.139467493397E+016,G,1783.7515268905,13.8015887634368,56847.4233382616,86.0321418368321,660.7696,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.13987672295181E+016,G,1783.82549469406,13.809986833069,56409.4099304729,211.176106468763,267.12024,false,false,4723201,3.69295549951642E+017
5.87012381002806E+018,2.14085080568427E+016,G,1784.00169488359,13.809339261783,56443.0645233284,79.3246986271703,711.5446,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.14126003480717E+016,G,1784.07570280158,13.8178934780927,56000.1124147449,118.358910378092,473.13812,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.14223411697547E+016,G,1784.25186277186,13.8120055444923,56304.6252489616,112.856434435077,498.90488,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.14264334621574E+016,G,1784.32584261585,13.8224760727922,55764.2494079193,176.588220422096,315.78693,false,false,4198913,3.69295549951642E+017
5.87012381002806E+018,2.14361742970852E+016,G,1784.50205911453,13.8127808026734,56264.435891045,88.9259977330523,632.71075,false,false,20481,3.69295549951642E+017
5.87012381002806E+018,2.14402665989253E+016,G,1784.57601103596,13.8123745137203,56285.4943178413,121.583563676745,462.9367,false,false,4198913,3.69295549951642E+017
5.87012381002806E+018,2.14500074621591E+016,G,1784.75219998036,13.8116644533502,56322.3164946413,139.538195692808,403.6337,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.1454099779728E+016,G,1784.82622955467,13.8115042508052,56330.6275780455,58.1977844268433,967.91705,false,false,32769,3.69295549951642E+017
5.87012381002806E+018,2.14638406900171E+016,G,1785.00237018726,13.8174571001121,56022.6244461286,113.429589817867,493.8978,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.14679330315725E+016,G,1785.07637910967,13.8050369481832,56667.1682484472,180.595175503779,313.7801,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.39530391950232E+016,G,1830.01999744398,14.5285686737673,29101.7309006603,69.6121928857553,418.05508,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.39627800003505E+016,G,1830.1961654969,14.5267206985047,29151.3056242485,84.9860470559656,343.01285,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.5123836684818E+016,G,1851.19467183819,14.9764690731148,19264.5407737111,47.7992351219501,403.0303,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.51279289752426E+016,G,1851.26868407344,14.9668025651261,19436.8222922076,40.5393154666382,479.45612,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.68824880113668E+016,G,1883.00126087153,15.6533260534552,10327.9914247149,28.0921702979218,367.6466,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.93381476294633E+016,G,1927.41299664986,16.2266395005267,6091.02651210252,31.9544697831331,190.61578,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.93422399791397E+016,G,1927.48700718516,16.21066965357,6181.28016914955,29.0324250484929,212.90953,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.93519808705503E+016,G,1927.66314394217,16.2010050871374,6236.54779787093,25.3714682662827,245.8095,false,false,4198913,3.69295549951642E+017
5.87012381002806E+018,2.93560731685904E+016,G,1927.73718164671,16.2258182960893,6095.63524679949,24.5208048336614,248.59035,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.93658139468856E+016,G,1927.91334442242,16.1995693280717,6244.8003577821,22.6542748036157,275.6566,false,false,4097,3.69295549951642E+017
5.87012381002806E+018,2.93699061990444E+016,G,1927.98735315674,16.1671250146505,6434.22559861931,301.822631165169,21.317904,false,true,4097,3.69295549951642E+017
5.87012381002806E+018,2.99923389334537E+016,G,1939.24402763851,16.1742883631946,6391.91431848653,12.8463116683217,497.56805,false,false,1,3.69295549951642E+017
5.87012381002806E+018,3.00020796104426E+016,G,1939.4201862667,16.1700136909714,6417.12964863937,43.8148155702375,146.46027,false,false,4097,3.69295549951642E+017
