source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
5870123810028066048,16815966622868123,G,1700.9507824261536,14.724688373032315,24292.42893024296,98.5806005975179,246.422,false,false,4097,369295549951641967
5870123810028066048,16820058917093454,G,1701.0247563332155,14.702327406278803,24797.924164604163,50.90051271543075,487.18417,false,false,4198913,369295549951641967
5870123810028066048,18716481191953584,G,1735.3185885917474,13.88256291982753,52761.98451428175,143.74803439080284,367.04492,false,false,4198913,369295549951641967
5870123810028066048,18720573493130728,G,1735.3926205800067,13.88246705784336,52766.64318900741,114.40790100146423,461.21503,false,false,4097,369295549951641967
5870123810028066048,21357267621160532,G,1783.075026957621,13.78355580357078,57799.48497272732,252.40406972568283,228.99585,false,false,4097,369295549951641967
5870123810028066048,21367008563564953,G,1783.2511888897723,13.794916240583714,57197.861765547015,115.4086477379434,495.61157,false,false,4097,369295549951641967
5870123810028066048,21371100890051712,G,1783.32519738484,13.796039461177674,57138.71977920758,129.49940076535034,441.2277,false,false,4097,369295549951641967
5870123810028066048,21380841778323873,G,1783.5013583798323,13.796735537297748,57102.099326170806,191.02231049280107,298.92896,false,false,4097,369295549951641967
5870123810028066048,21384934086460754,G,1783.5753504944778,13.801537526563594,56850.10608286977,98.06888034820881,579.6957,false,false,4264449,369295549951641967
5870123810028066048,21394674933970007,G,1783.7515268904979,13.801588763436804,56847.4233382616,86.03214183683205,660.7696,false,false,4097,369295549951641967
5870123810028066048,21398767229518066,G,1783.825494694065,13.809986833068955,56409.40993047286,211.17610646876292,267.12024,false,false,4723201,369295549951641967
5870123810028066048,21408508056842724,G,1784.001694883593,13.809339261782993,56443.06452332843,79.32469862717025,711.5446,false,false,4097,369295549951641967
5870123810028066048,21412600348071721,G,1784.0757028015767,13.817893478092689,56000.11241474487,118.35891037809242,473.13812,false,false,4097,369295549951641967
5870123810028066048,21422341169754658,G,1784.2518627718584,13.81200554449233,56304.62524896156,112.85643443507698,498.90488,false,false,4097,369295549951641967
5870123810028066048,21426433462157395,G,1784.3258426158534,13.822476072792227,55764.24940791933,176.58822042209616,315.78693,false,false,4198913,369295549951641967
5870123810028066048,21436174297085207,G,1784.5020591145326,13.81278080267336,56264.43589104504,88.92599773305231,632.71075,false,false,20481,369295549951641967
5870123810028066048,21440266598925333,G,1784.5760110359593,13.812374513720318,56285.49431784132,121.58356367674536,462.9367,false,false,4198913,369295549951641967
5870123810028066048,21450007462159073,G,1784.7521999803596,13.811664453350149,56322.316494641316,139.53819569280836,403.6337,false,false,4097,369295549951641967
5870123810028066048,21454099779728045,G,1784.826229554674,13.811504250805186,56330.62757804545,58.1977844268433,967.91705,false,false,32769,369295549951641967
5870123810028066048,21463840690017119,G,1785.0023701872644,13.817457100112113,56022.62444612859,113.4295898178665,493.8978,false,false,4097,369295549951641967
5870123810028066048,21467933031572473,G,1785.0763791096733,13.805036948183218,56667.1682484472,180.5951755037794,313.7801,false,false,4097,369295549951641967
5870123810028066048,23953039195023222,G,1830.019997443977,14.52856867376734,29101.730900660255,69.61219288575525,418.05508,false,false,4097,369295549951641967
5870123810028066048,23962780000350481,G,1830.1961654968977,14.52672069850474,29151.30562424848,84.98604705596559,343.01285,false,false,4097,369295549951641967
5870123810028066048,25123836684818000,G,1851.1946718381944,14.976469073114801,19264.540773711116,47.799235121950055,403.0303,false,false,4097,369295549951641967
5870123810028066048,25127928975242601,G,1851.2686840734425,14.966802565126113,19436.822292207555,40.5393154666382,479.45612,false,false,4097,369295549951641967
5870123810028066048,26882488011366832,G,1883.0012608715292,15.653326053455176,10327.991424714928,28.092170297921765,367.6466,false,false,4097,369295549951641967
5870123810028066048,29338147629463279,G,1927.412996649861,16.226639500526733,6091.02651210252,31.95446978313313,190.61578,false,false,4097,369295549951641967
5870123810028066048,29342239979139719,G,1927.487007185155,16.21066965356997,6181.28016914955,29.032425048492897,212.90953,false,false,4097,369295549951641967
5870123810028066048,29351980870550278,G,1927.6631439421692,16.201005087137425,6236.547797870926,25.371468266282744,245.8095,false,false,4198913,369295549951641967
5870123810028066048,29356073168590392,G,1927.7371816467055,16.225818296089265,6095.63524679949,24.52080483366143,248.59035,false,false,4097,369295549951641967
5870123810028066048,29365813946885644,G,1927.9133444224155,16.199569328071743,6244.800357782096,22.65427480361571,275.6566,false,false,4097,369295549951641967
5870123810028066048,29369906199044378,G,1927.9873531567373,16.167125014650487,6434.225598619313,301.8226311651694,21.317904,false,true,4097,369295549951641967
5870123810028066048,29992338933453696,G,1939.2440276385134,16.174288363194627,6391.914318486532,12.846311668321682,497.56805,false,false,1,369295549951641967
5870123810028066048,30002079610442555,G,1939.4201862666978,16.17001369097141,6417.129648639371,43.8148155702375,146.46027,false,false,4097,369295549951641967
5870123810028066048,30006171861300251,G,1939.4941939985758,16.165946415038476,6441.213938183698,21.140778005723153,304.68198,false,false,1,369295549951641967
5870123810028066048,30015912631481200,G,1939.670354244758,16.15651086455457,6497.435010330465,21.849250651292095,297.37564,false,false,1,369295549951641967
5870123810028066048,30020004922577956,G,1939.7443626829167,16.164352234669366,6450.678483087097,20.290010880996892,317.92386,false,false,1,369295549951641967
5870123810028066048,30029745785819927,G,1939.9205245741823,16.170328976145413,6415.266459315095,23.021633273474254,278.66254,false,false,1,369295549951641967
5870123810028066048,30033838120432545,G,1939.9945337622141,16.161803759521874,6465.837508243777,22.172150608136615,291.61978,false,false,1,369295549951641967
