#Time(in MJD)	Relative Flux	Error in Relative Flux
58423.0427941196	0.8382431918158558	0.0007026927217893062
58423.0456155352	0.8378923302669693	0.0006923540975854576
58423.0484479517	0.8402582226006063	0.0007023840123691334
58423.0512918271	0.8371833137395759	0.0007030887027670901
58423.0541190356	0.8345694779949354	0.0006959426328753134
58423.0569647849	0.8357538562468613	0.000699573097956104
58423.059813913	0.8359480923106386	0.0006992391104234711
58423.0626580864	0.835205209316823	0.0006992555365559128
58423.0654882863	0.8316786597691548	0.0006974813177835875
58423.0683074519	0.8305874200508533	0.0006932294296947231
58423.0711536184	0.8257147558055525	0.0006944594529776112
58423.0739988685	0.8209926001459061	0.0006958362044733399
58423.0769155398	0.8175926329052124	0.0006857838631744149
58423.0797616541	0.8140182222400214	0.0006868688185698214
58423.0826664492	0.8122375090562991	0.0006852822546539307
58423.0855739936	0.8128999769957825	0.0006878632826656621
58423.0884037837	0.814628625364383	0.0006846875614853184
58423.0912271217	0.8083127101936511	0.0006781016026408848
58423.0940493643	0.8097313340620458	0.0006845773259582699
58423.0968887433	0.8161684414391605	0.0006880441909784128
58423.0997154638	0.8224773997305729	0.000690681397519042
58423.102536492	0.8102960603623808	0.0006877094197559554
58423.1053600311	0.8117727115364904	0.0006865700716477041
58423.1081967056	0.8126168584092252	0.0006925189476495548
58423.111022912	0.8129753374575357	0.0006863923069812711
58423.1138469949	0.81275386455709	0.0006924081951030735
58423.1167599931	0.8133316146796585	0.0006794767016131581
58423.1195991635	0.8170968894291334	0.0006891792011834345
58423.1224403754	0.8222839033492444	0.000695504028999849
58423.1252870709	0.8271846018289966	0.000700569601220746
58423.1281315386	0.8287228975979686	0.0007013903671642443
58423.1309640855	0.8350753551954389	0.0007117051390684696
58423.1338814199	0.8364937474388388	0.0007049162223024513
58423.1367003322	0.8426678973377897	0.0007072738611429828
58423.1395383626	0.8404241120291627	0.0007095443512746165
58423.1423631757	0.8455497371655345	0.0007175664857319753
58423.1452815682	0.8458553783837187	0.0007217603113847576
58423.1481114179	0.845329161224077	0.0007208972585094371
58423.1509577483	0.8417816018748219	0.0007179005453958108
58423.1538074613	0.8425227028060237	0.0007175669868362555
58423.1566411704	0.8428349359281528	0.000717963337124175
58423.1594872475	0.8462674539227901	0.0007280783654549319
